Brand,Model,Price (USD),Selling Platform,Rating,Refresh Rate (Hz),Screen Size (inches),RAM (GB),Storage (GB),Processor,Camera Setup
Oppo,Pixel Edge 11,502.28,Official Store,3.5,90,7.1,4,64,Helio G99,50MP + 50MP + 8MP
Xiaomi,Pixel Mini 24,901.6,Walmart,4.4,120,6.3,16,1024,Dimensity 1080,108MP + 50MP + 2MP
Oppo,Reno Lite 24,534.11,AliExpress,4.5,90,6.0,6,128,Dimensity 920,108MP + 8MP + 8MP
Realme,Galaxy S Mini 25,1428.96,Amazon,3.4,120,5.9,8,64,Helio G99,64MP + 12MP + 2MP
Samsung,iPhone Lite 23,951.01,Official Store,4.1,120,5.7,4,512,Snapdragon 8 Gen 2,48MP + 12MP + 8MP
Apple,Pixel 5G 12,1746.24,eBay,4.8,144,6.7,6,64,A16 Bionic,200MP + 16MP + 2MP
Samsung,Nord SE 20,537.59,eBay,4.7,90,6.3,12,512,Exynos 2200,12MP + 50MP + 5MP
Sony,V Series Plus 25,1138.5,Best Buy,4.3,90,7.1,16,128,Helio G99,108MP + 12MP + 2MP
OnePlus,Mate Edge 23,723.93,Official Store,4.8,144,5.3,6,1024,Dimensity 9000,64MP + 16MP + 2MP
Huawei,iPhone Max 19,1399.63,Reliance Digital,4.6,165,7.2,8,1024,Helio G99,48MP + 12MP + 2MP
Oppo,V Series Edge 20,506.62,eBay,3.1,120,5.6,6,512,Helio G99,48MP + 16MP + 5MP
Apple,Pixel SE 20,1221.72,Amazon,4.3,144,5.8,6,128,A15 Bionic,48MP + 50MP + 2MP
Sony,Reno Turbo 24,1932.23,AliExpress,3.7,60,5.1,12,256,Helio G99,12MP + 8MP + 2MP
OnePlus,Redmi Note Lite 12,450.99,Walmart,4.4,90,5.5,12,64,Snapdragon 8+ Gen 1,108MP + 8MP + 2MP
OnePlus,Redmi Note Turbo 23,1236.31,Best Buy,4.6,144,6.9,12,64,Dimensity 9000,50MP + 12MP + 5MP
Nokia,Redmi Note Ultra 10,670.02,Official Store,3.7,144,6.8,12,64,Dimensity 920,64MP + 50MP + 2MP
Realme,Nord Lite 14,1918.77,Amazon,4.1,165,6.6,8,1024,Dimensity 920,64MP + 50MP + 5MP
Motorola,Narzo Edge 17,249.54,Amazon,4.0,60,6.8,12,128,Dimensity 920,12MP + 16MP + 2MP
Samsung,iPhone Mini 11,1273.55,Official Store,4.2,120,5.1,4,1024,Snapdragon 8 Gen 2,108MP + 16MP + 8MP
Samsung,iPhone Edge 24,1034.98,Walmart,4.0,60,7.4,12,1024,Snapdragon 8 Gen 2,64MP + 12MP + 5MP
Google,P Series Plus 16,1555.0,eBay,3.6,165,7.1,6,512,Tensor G2,64MP + 12MP + 5MP
Apple,Moto G Lite 14,1941.21,Walmart,3.0,144,6.8,6,256,A16 Bionic,48MP + 8MP + 5MP
Vivo,Galaxy S Lite 19,1437.85,AliExpress,4.9,165,6.9,6,128,Dimensity 920,64MP + 16MP + 2MP
OnePlus,Narzo 5G 23,1235.13,Official Store,3.6,90,7.0,12,256,Dimensity 9000,64MP + 12MP + 8MP
Huawei,iPhone Mini 23,1335.3,Reliance Digital,4.3,120,6.2,16,128,Helio G99,50MP + 16MP + 8MP
Sony,Xperia Plus 11,1229.16,Amazon,3.4,60,6.0,6,1024,Dimensity 920,50MP + 8MP + 2MP
Nokia,Galaxy S Ultra 14,979.11,AliExpress,4.8,144,7.1,8,64,Dimensity 920,200MP + 16MP + 2MP
Google,V Series Lite 21,226.01,Reliance Digital,4.4,144,5.8,8,512,Tensor G1,50MP + 16MP + 2MP
Apple,Reno Max 19,1548.26,Reliance Digital,4.0,90,7.5,4,512,A16 Bionic,48MP + 8MP + 5MP
Realme,Redmi Note SE 18,659.8,Official Store,4.6,165,7.4,12,256,Dimensity 920,48MP + 16MP + 2MP
OnePlus,Mate Plus 14,1030.14,Best Buy,3.5,120,6.6,12,256,Snapdragon 8+ Gen 1,200MP + 50MP + 5MP
Motorola,P Series Lite 23,1813.08,Official Store,3.8,60,5.6,16,512,Dimensity 920,12MP + 12MP + 2MP
Realme,Nord 5G 11,680.8,Flipkart,3.3,120,5.4,6,256,Dimensity 920,48MP + 12MP + 8MP
Huawei,Moto G Mini 12,788.87,Reliance Digital,4.2,90,6.1,16,256,Dimensity 920,50MP + 50MP + 2MP
Apple,V Series SE 10,1897.83,Official Store,3.2,144,5.1,4,512,A16 Bionic,108MP + 16MP + 5MP
Vivo,iPhone Edge 11,1340.93,Amazon,4.3,165,5.9,6,512,Dimensity 920,12MP + 12MP + 8MP
Vivo,Moto G SE 15,1864.83,Best Buy,4.5,144,6.0,6,128,Helio G99,108MP + 16MP + 8MP
Samsung,iPhone Turbo 12,1634.5,Walmart,4.5,144,7.2,12,128,Exynos 2200,200MP + 50MP + 2MP
Samsung,Moto G 5G 17,1509.89,AliExpress,3.9,120,5.1,12,512,Snapdragon 8 Gen 2,12MP + 8MP + 5MP
Motorola,V Series Pro 11,1263.64,eBay,4.8,60,6.9,4,512,Helio G99,50MP + 8MP + 5MP
Motorola,Narzo Edge 21,628.32,eBay,3.2,165,6.1,8,512,Helio G99,50MP + 8MP + 2MP
Huawei,Narzo Pro 22,1076.49,Amazon,4.6,144,7.1,16,1024,Helio G99,108MP + 16MP + 5MP
Realme,Narzo Edge 10,569.35,Reliance Digital,4.7,165,6.1,8,128,Dimensity 920,50MP + 8MP + 8MP
Google,Mate Ultra 11,1115.1,AliExpress,3.8,90,6.2,12,512,Tensor G1,108MP + 50MP + 5MP
Vivo,Reno Lite 10,1415.18,Best Buy,3.5,90,5.6,16,64,Dimensity 920,200MP + 8MP + 2MP
Apple,Pixel Lite 17,1009.62,Best Buy,3.8,120,7.0,8,256,A15 Bionic,108MP + 12MP + 2MP
Motorola,Mate Lite 11,1649.94,Best Buy,4.1,90,6.7,16,64,Helio G99,200MP + 50MP + 5MP
Oppo,Pixel Pro 19,1241.45,Best Buy,3.0,90,6.7,4,256,Dimensity 920,200MP + 16MP + 8MP
Oppo,Pixel Plus 23,769.28,Walmart,4.4,144,7.0,16,256,Dimensity 920,64MP + 8MP + 8MP
Oppo,Redmi Note Edge 17,975.68,Reliance Digital,3.6,90,6.9,6,1024,Dimensity 920,12MP + 12MP + 8MP
Motorola,Pixel SE 15,342.94,Best Buy,4.5,144,6.0,8,512,Dimensity 920,12MP + 8MP + 8MP
Samsung,Nord Max 12,918.96,Walmart,4.8,60,7.1,4,128,Snapdragon 8 Gen 2,64MP + 16MP + 8MP
Vivo,Redmi Note Ultra 22,1394.84,Amazon,4.9,60,6.1,8,64,Dimensity 920,12MP + 12MP + 8MP
Samsung,P Series Max 16,1811.13,Official Store,4.4,60,5.6,6,64,Exynos 2200,200MP + 8MP + 5MP
Google,Mate Edge 11,1823.98,Flipkart,4.5,120,5.2,6,1024,Tensor G2,200MP + 50MP + 2MP
Vivo,Galaxy S Edge 13,1747.67,Best Buy,3.9,165,5.2,16,64,Dimensity 920,12MP + 16MP + 2MP
Oppo,Reno SE 15,1742.83,AliExpress,4.0,165,5.8,4,128,Helio G99,200MP + 8MP + 2MP
Nokia,Nord SE 13,1413.7,eBay,4.3,165,7.3,16,1024,Dimensity 920,64MP + 16MP + 5MP
Oppo,Reno 5G 18,1727.13,AliExpress,3.9,120,7.3,6,1024,Helio G99,200MP + 8MP + 2MP
Apple,Mate 5G 14,1619.99,Reliance Digital,3.0,144,5.3,16,512,A15 Bionic,200MP + 16MP + 8MP
Xiaomi,Galaxy S Plus 21,1078.4,Reliance Digital,4.9,60,5.8,4,64,Snapdragon 7 Gen 1,200MP + 12MP + 5MP
Realme,P Series Pro 18,668.57,Amazon,3.7,165,5.2,4,64,Dimensity 920,12MP + 8MP + 8MP
Samsung,P Series 5G 17,560.87,Amazon,4.2,144,5.7,16,512,Snapdragon 8 Gen 2,200MP + 16MP + 8MP
Realme,Moto G Turbo 23,639.41,Reliance Digital,3.4,165,7.0,16,128,Dimensity 920,12MP + 16MP + 8MP
Realme,Xperia Pro 17,1319.91,AliExpress,3.3,60,7.4,12,512,Helio G99,200MP + 16MP + 2MP
Oppo,V Series Turbo 22,1593.93,Official Store,4.6,144,6.7,8,1024,Dimensity 920,48MP + 16MP + 2MP
Huawei,Galaxy S Lite 19,510.87,Flipkart,3.2,120,5.2,6,256,Dimensity 920,200MP + 16MP + 2MP
Motorola,Pixel SE 20,1169.34,Best Buy,4.9,60,6.9,16,256,Dimensity 920,50MP + 8MP + 5MP
Samsung,Narzo Pro 23,1233.69,Reliance Digital,4.8,144,5.6,6,128,Exynos 2200,50MP + 12MP + 8MP
Realme,Narzo SE 10,973.77,Reliance Digital,3.5,60,7.5,16,256,Helio G99,200MP + 12MP + 2MP
Oppo,Pixel Lite 24,1779.82,Amazon,3.8,60,6.7,6,1024,Dimensity 920,64MP + 8MP + 8MP
Google,Mate Plus 23,1585.23,Amazon,3.9,90,6.1,8,1024,Tensor G1,64MP + 50MP + 5MP
Apple,iPhone Max 20,1681.54,eBay,3.4,90,7.4,8,256,A15 Bionic,108MP + 50MP + 5MP
Samsung,iPhone Mini 25,852.32,Walmart,3.9,144,5.5,4,256,Exynos 2200,12MP + 16MP + 5MP
Oppo,Reno Mini 11,1920.15,eBay,3.1,60,6.9,8,256,Dimensity 920,50MP + 50MP + 8MP
Oppo,Redmi Note 5G 20,228.39,Best Buy,4.9,165,6.3,8,256,Dimensity 920,12MP + 8MP + 2MP
Nokia,Redmi Note Edge 10,1162.26,Official Store,3.5,60,7.0,12,64,Dimensity 920,64MP + 12MP + 8MP
Apple,Moto G Mini 15,654.86,Amazon,3.2,120,5.4,6,256,A15 Bionic,108MP + 12MP + 2MP
Realme,Xperia Pro 23,445.81,Amazon,4.8,120,6.1,4,128,Helio G99,50MP + 8MP + 2MP
OnePlus,Pixel Lite 19,1335.99,Amazon,3.2,144,7.1,12,64,Snapdragon 8+ Gen 1,50MP + 12MP + 2MP
Apple,Mate Mini 13,414.7,Amazon,3.6,144,5.7,16,64,A15 Bionic,108MP + 12MP + 8MP
Oppo,iPhone Edge 16,1266.92,Amazon,3.7,90,5.1,8,256,Helio G99,64MP + 16MP + 8MP
Realme,Mate Plus 12,1895.0,Flipkart,3.2,120,5.6,12,1024,Helio G99,108MP + 8MP + 5MP
Motorola,P Series Ultra 19,1343.11,eBay,3.9,60,6.7,6,64,Helio G99,12MP + 16MP + 2MP
Oppo,Reno 5G 25,383.33,Best Buy,3.4,60,5.3,16,128,Helio G99,48MP + 16MP + 8MP
Huawei,Pixel Ultra 24,1042.22,AliExpress,4.3,60,6.2,4,128,Helio G99,108MP + 50MP + 5MP
Xiaomi,Redmi Note Lite 21,1353.12,Flipkart,4.8,165,7.4,6,128,Snapdragon 7 Gen 1,200MP + 50MP + 2MP
Samsung,Nord SE 15,312.55,Walmart,3.8,165,5.1,6,64,Exynos 2200,48MP + 8MP + 5MP
Nokia,Nord Lite 20,591.36,AliExpress,4.9,120,6.1,16,512,Dimensity 920,48MP + 16MP + 2MP
Huawei,Moto G Plus 10,401.09,AliExpress,3.8,60,5.4,4,256,Dimensity 920,108MP + 12MP + 2MP
Vivo,Redmi Note Turbo 21,374.7,Amazon,3.7,144,6.8,4,64,Dimensity 920,108MP + 12MP + 2MP
Huawei,Pixel Plus 10,1249.3,Reliance Digital,4.5,144,7.1,12,512,Dimensity 920,108MP + 8MP + 8MP
OnePlus,Pixel Max 24,1549.29,Official Store,3.9,144,5.0,6,64,Dimensity 9000,64MP + 16MP + 8MP
Nokia,iPhone 5G 10,627.72,Amazon,3.6,165,7.2,12,1024,Helio G99,108MP + 12MP + 8MP
Samsung,Nord Edge 20,395.89,Amazon,4.3,90,7.4,6,512,Snapdragon 8 Gen 2,12MP + 8MP + 8MP
Realme,Moto G Edge 25,1309.44,Reliance Digital,3.2,60,6.9,4,1024,Helio G99,200MP + 16MP + 5MP
Realme,Pixel Ultra 10,1409.02,AliExpress,3.6,120,6.6,16,256,Helio G99,200MP + 12MP + 2MP
Motorola,V Series Plus 12,559.32,Amazon,4.5,90,7.0,8,512,Dimensity 920,50MP + 50MP + 2MP
Realme,Pixel SE 23,1221.12,eBay,4.0,165,5.4,4,1024,Dimensity 920,200MP + 50MP + 2MP
Xiaomi,Reno Plus 16,1476.01,Flipkart,3.5,165,5.1,6,512,Dimensity 1080,64MP + 8MP + 5MP
Realme,iPhone Ultra 11,1350.47,Flipkart,4.7,144,5.3,4,64,Dimensity 920,50MP + 8MP + 2MP
Samsung,P Series SE 11,867.39,Reliance Digital,3.5,60,5.4,6,128,Exynos 2200,200MP + 50MP + 8MP
Motorola,Xperia Ultra 20,530.42,Amazon,4.6,90,6.7,8,128,Helio G99,48MP + 12MP + 8MP
Sony,Redmi Note 5G 17,1992.72,Best Buy,3.9,165,6.7,12,512,Dimensity 920,12MP + 50MP + 5MP
Google,iPhone Plus 21,1781.66,Flipkart,4.1,120,6.3,12,128,Tensor G1,200MP + 8MP + 8MP
Xiaomi,Nord Max 20,406.51,Official Store,3.1,165,6.8,4,128,Dimensity 1080,108MP + 16MP + 8MP
Nokia,P Series Mini 10,1843.01,Walmart,4.2,90,7.3,16,64,Dimensity 920,108MP + 16MP + 8MP
Samsung,V Series Turbo 22,190.18,Reliance Digital,4.9,165,7.2,8,256,Exynos 2200,64MP + 50MP + 8MP
OnePlus,Pixel Lite 20,1192.65,eBay,4.8,165,6.5,16,1024,Snapdragon 8+ Gen 1,108MP + 50MP + 5MP
Huawei,Reno Mini 23,538.57,eBay,4.6,60,5.3,6,128,Helio G99,48MP + 12MP + 5MP
Realme,Moto G SE 18,1081.13,Amazon,4.7,120,6.9,12,512,Dimensity 920,12MP + 8MP + 2MP
Oppo,Reno Ultra 14,413.1,eBay,3.5,60,6.1,12,1024,Helio G99,50MP + 50MP + 2MP
Apple,V Series Max 19,1008.07,Best Buy,3.9,144,5.6,6,128,A15 Bionic,200MP + 16MP + 5MP
Realme,P Series Edge 15,1284.75,Reliance Digital,4.8,165,6.0,16,128,Helio G99,50MP + 8MP + 5MP
Apple,Nord Plus 14,1455.18,Best Buy,4.1,120,6.4,4,64,A15 Bionic,48MP + 8MP + 5MP
Oppo,iPhone Mini 15,1272.34,Amazon,4.0,165,6.9,12,1024,Helio G99,200MP + 8MP + 8MP
Xiaomi,Redmi Note Pro 14,283.37,Amazon,3.1,165,5.1,16,512,Snapdragon 7 Gen 1,108MP + 8MP + 8MP
Apple,P Series Mini 12,1409.47,Flipkart,3.9,165,6.9,12,256,A15 Bionic,200MP + 12MP + 8MP
Huawei,Narzo Lite 17,1596.56,AliExpress,4.2,90,7.0,8,256,Dimensity 920,64MP + 50MP + 2MP
Huawei,iPhone Turbo 10,1359.17,Official Store,3.6,60,5.0,6,64,Dimensity 920,50MP + 12MP + 2MP
Sony,Moto G 5G 12,1803.74,eBay,3.7,120,5.9,4,1024,Helio G99,108MP + 16MP + 8MP
Huawei,Xperia Pro 15,735.79,Walmart,4.1,120,5.0,16,1024,Dimensity 920,200MP + 12MP + 5MP
Realme,Narzo SE 16,704.08,Walmart,4.7,120,5.0,16,128,Dimensity 920,108MP + 16MP + 2MP
OnePlus,Narzo Edge 22,1830.26,eBay,5.0,165,6.7,6,256,Dimensity 9000,50MP + 50MP + 2MP
Vivo,Xperia Turbo 21,752.72,Best Buy,4.5,144,5.5,4,256,Helio G99,50MP + 8MP + 5MP
Nokia,Narzo Pro 17,567.06,Amazon,5.0,120,5.4,6,64,Helio G99,12MP + 16MP + 2MP
Nokia,Narzo 5G 11,667.3,Official Store,3.9,90,6.8,12,256,Dimensity 920,64MP + 8MP + 8MP
Google,Mate Turbo 23,1791.22,Reliance Digital,3.0,144,7.4,16,512,Tensor G2,64MP + 50MP + 2MP
Motorola,Moto G Plus 12,1726.48,eBay,3.2,165,7.3,6,512,Dimensity 920,12MP + 8MP + 5MP
Huawei,Reno Mini 25,1938.62,Best Buy,4.5,165,5.4,4,128,Dimensity 920,12MP + 8MP + 5MP
Google,Xperia Max 15,1747.77,Amazon,3.8,120,5.2,6,512,Tensor G1,48MP + 16MP + 2MP
Apple,Redmi Note Ultra 18,1242.47,Amazon,4.0,90,7.5,16,512,A16 Bionic,50MP + 12MP + 8MP
OnePlus,Reno Turbo 17,640.68,Official Store,3.8,90,5.3,6,512,Dimensity 9000,12MP + 50MP + 2MP
Vivo,Reno Lite 10,1479.52,Amazon,3.2,144,6.7,12,1024,Dimensity 920,64MP + 16MP + 5MP
Huawei,iPhone Lite 14,1112.81,Reliance Digital,3.2,90,6.5,4,128,Helio G99,108MP + 12MP + 2MP
Huawei,Pixel Turbo 23,1628.8,Walmart,4.3,144,5.4,6,256,Helio G99,108MP + 12MP + 8MP
Xiaomi,Redmi Note Ultra 11,671.57,Best Buy,3.0,90,7.0,16,128,Dimensity 1080,200MP + 8MP + 8MP
Vivo,Reno Pro 11,1198.51,Official Store,4.8,165,7.4,4,1024,Helio G99,12MP + 16MP + 5MP
Motorola,Narzo Lite 20,1745.97,AliExpress,4.1,90,6.2,4,1024,Dimensity 920,50MP + 8MP + 2MP
Vivo,Xperia Pro 22,1788.6,Reliance Digital,3.5,144,6.1,4,1024,Helio G99,108MP + 50MP + 8MP
Samsung,Nord Pro 15,1947.18,Walmart,3.2,60,6.9,6,512,Snapdragon 8 Gen 2,108MP + 50MP + 8MP
Sony,Galaxy S Ultra 13,1424.09,Reliance Digital,3.1,144,5.5,16,1024,Helio G99,108MP + 16MP + 8MP
Samsung,Reno Mini 14,1885.34,Walmart,4.0,90,7.3,4,128,Snapdragon 8 Gen 2,64MP + 8MP + 8MP
Oppo,iPhone 5G 12,1483.92,Flipkart,4.9,120,7.3,4,128,Dimensity 920,64MP + 16MP + 2MP
Motorola,V Series Plus 11,1044.95,AliExpress,4.0,60,7.4,4,1024,Helio G99,108MP + 16MP + 5MP
Oppo,Redmi Note 5G 20,1083.26,AliExpress,3.2,165,7.1,12,1024,Helio G99,12MP + 8MP + 2MP
OnePlus,Xperia Plus 14,1351.85,Flipkart,3.4,144,6.4,12,512,Snapdragon 8+ Gen 1,48MP + 50MP + 5MP
Oppo,Nord Turbo 24,258.55,Flipkart,3.1,90,7.4,8,512,Dimensity 920,200MP + 50MP + 5MP
Oppo,Redmi Note Pro 13,440.49,Reliance Digital,3.7,120,6.8,16,64,Dimensity 920,48MP + 50MP + 5MP
Samsung,Narzo Edge 23,1605.08,Walmart,4.6,120,5.4,16,256,Snapdragon 8 Gen 2,200MP + 16MP + 2MP
Nokia,Reno Edge 25,1502.99,Best Buy,3.3,60,6.1,16,64,Dimensity 920,48MP + 16MP + 2MP
Huawei,V Series Max 19,1297.75,Reliance Digital,4.9,90,7.3,8,512,Dimensity 920,200MP + 8MP + 5MP
Xiaomi,Mate Pro 15,1902.71,Reliance Digital,5.0,165,5.1,8,64,Snapdragon 7 Gen 1,12MP + 16MP + 5MP
Nokia,Redmi Note Mini 20,1950.48,Official Store,4.1,90,6.0,12,512,Helio G99,12MP + 12MP + 2MP
Realme,iPhone Plus 12,404.48,eBay,4.1,120,6.6,8,512,Dimensity 920,108MP + 12MP + 2MP
Huawei,iPhone Mini 12,1988.74,Walmart,3.5,165,6.8,16,64,Helio G99,108MP + 50MP + 2MP
Vivo,Xperia Mini 18,1815.96,Walmart,3.5,120,6.5,4,64,Dimensity 920,200MP + 12MP + 5MP
Xiaomi,Moto G SE 19,710.75,Official Store,3.2,90,6.8,12,128,Snapdragon 7 Gen 1,12MP + 16MP + 8MP
Apple,Nord Mini 18,1468.25,Flipkart,3.1,90,6.7,6,256,A16 Bionic,64MP + 12MP + 5MP
Motorola,Nord Plus 15,609.15,eBay,4.9,60,5.3,16,512,Helio G99,50MP + 16MP + 5MP
Google,V Series Ultra 24,753.04,eBay,4.4,90,6.0,16,512,Tensor G2,12MP + 16MP + 8MP
Realme,Xperia SE 18,353.18,Flipkart,3.5,165,5.8,6,128,Dimensity 920,12MP + 12MP + 8MP
Motorola,Mate Pro 17,1023.53,Best Buy,4.4,165,5.1,6,256,Dimensity 920,50MP + 50MP + 5MP
Motorola,Moto G Plus 20,1615.61,Best Buy,4.6,144,7.2,4,64,Dimensity 920,200MP + 8MP + 5MP
Realme,Redmi Note Edge 13,1320.22,Walmart,3.5,165,6.7,8,1024,Helio G99,64MP + 12MP + 2MP
Motorola,V Series Ultra 15,1911.76,Official Store,4.8,120,7.2,4,256,Dimensity 920,50MP + 12MP + 8MP
OnePlus,Xperia Plus 11,1268.4,Flipkart,3.2,165,5.3,6,256,Snapdragon 8+ Gen 1,108MP + 12MP + 2MP
Vivo,Mate 5G 23,1283.45,Amazon,3.1,120,6.0,12,1024,Dimensity 920,200MP + 16MP + 2MP
Nokia,P Series Mini 18,803.49,Official Store,3.3,60,7.3,8,512,Helio G99,108MP + 50MP + 2MP
Samsung,Redmi Note Pro 23,519.41,Official Store,3.5,90,6.9,12,64,Exynos 2200,200MP + 16MP + 2MP
Xiaomi,Mate Max 21,1889.04,Reliance Digital,3.2,120,5.5,4,64,Snapdragon 7 Gen 1,64MP + 8MP + 5MP
Huawei,Mate Plus 23,184.75,Amazon,3.7,90,5.8,16,64,Dimensity 920,48MP + 16MP + 8MP
Samsung,Redmi Note Max 16,1272.76,Walmart,4.1,144,7.4,16,64,Snapdragon 8 Gen 2,108MP + 16MP + 8MP
Samsung,Mate Edge 14,1296.86,eBay,3.3,165,7.1,4,1024,Snapdragon 8 Gen 2,64MP + 16MP + 8MP
Xiaomi,Narzo Lite 22,937.0,AliExpress,3.9,144,5.8,6,256,Dimensity 1080,108MP + 50MP + 8MP
Apple,P Series Edge 21,770.55,Flipkart,4.2,90,5.4,16,128,A16 Bionic,108MP + 8MP + 2MP
OnePlus,Reno Mini 23,1011.31,Flipkart,3.7,144,5.3,12,512,Dimensity 9000,64MP + 8MP + 2MP
Huawei,Pixel SE 19,378.65,Walmart,3.1,120,7.3,8,128,Dimensity 920,200MP + 8MP + 5MP
Apple,Galaxy S 5G 14,1137.1,Amazon,3.5,60,6.0,6,1024,A15 Bionic,12MP + 8MP + 5MP
Sony,iPhone SE 11,1399.13,Flipkart,4.7,90,5.5,4,256,Helio G99,48MP + 16MP + 2MP
Samsung,Moto G Lite 10,1021.12,Walmart,3.6,90,6.0,16,256,Exynos 2200,12MP + 16MP + 8MP
OnePlus,Pixel Mini 25,746.37,Best Buy,3.1,90,6.0,16,1024,Snapdragon 8+ Gen 1,50MP + 50MP + 8MP
Vivo,Redmi Note Turbo 18,1589.47,Official Store,5.0,60,6.2,4,256,Dimensity 920,64MP + 16MP + 8MP
Vivo,P Series Pro 16,1935.61,Best Buy,3.3,144,6.8,12,64,Helio G99,48MP + 50MP + 8MP
Huawei,Nord Turbo 13,1198.3,eBay,3.0,165,7.5,8,64,Helio G99,200MP + 8MP + 5MP
Nokia,V Series SE 19,402.64,Best Buy,3.7,60,5.9,8,64,Helio G99,48MP + 8MP + 8MP
Huawei,Galaxy S Turbo 23,1941.39,Amazon,4.5,120,7.1,6,64,Dimensity 920,108MP + 12MP + 8MP
Nokia,Moto G Plus 18,1431.02,Official Store,3.2,60,7.4,12,128,Helio G99,50MP + 12MP + 8MP
Realme,iPhone Plus 21,810.49,Flipkart,3.4,120,5.9,16,128,Helio G99,64MP + 50MP + 2MP
Realme,Redmi Note Lite 19,1140.69,Reliance Digital,4.0,60,6.4,8,1024,Helio G99,48MP + 50MP + 8MP
OnePlus,Mate Mini 18,970.49,Walmart,4.8,144,5.5,8,512,Dimensity 9000,108MP + 50MP + 2MP
Apple,Reno Turbo 10,857.38,Official Store,4.2,120,6.9,4,64,A16 Bionic,64MP + 50MP + 8MP
Samsung,Pixel 5G 23,322.9,Reliance Digital,3.4,144,5.1,12,256,Snapdragon 8 Gen 2,12MP + 12MP + 5MP
Motorola,Moto G SE 21,1725.1,Reliance Digital,3.9,165,6.1,8,128,Helio G99,64MP + 16MP + 2MP
Xiaomi,Narzo Turbo 10,801.28,Best Buy,3.2,165,7.0,8,256,Snapdragon 7 Gen 1,108MP + 12MP + 8MP
Samsung,Moto G 5G 13,1450.33,eBay,5.0,90,5.9,16,128,Snapdragon 8 Gen 2,50MP + 16MP + 2MP
Vivo,Narzo SE 16,287.56,Best Buy,3.1,90,5.3,16,512,Dimensity 920,48MP + 50MP + 2MP
Vivo,Moto G Ultra 12,181.13,Best Buy,3.1,165,6.9,6,128,Dimensity 920,108MP + 16MP + 2MP
Xiaomi,Redmi Note 5G 10,176.78,Amazon,4.5,90,6.5,12,128,Dimensity 1080,108MP + 12MP + 2MP
OnePlus,Nord Lite 25,543.56,Flipkart,3.6,144,6.4,6,128,Dimensity 9000,50MP + 8MP + 5MP
Sony,V Series Ultra 24,577.71,Reliance Digital,4.7,120,5.3,4,256,Helio G99,64MP + 12MP + 8MP
Sony,Nord Lite 21,517.33,Flipkart,3.6,144,5.1,6,512,Dimensity 920,64MP + 12MP + 2MP
OnePlus,Pixel Lite 21,779.91,Flipkart,3.5,90,6.4,4,1024,Snapdragon 8+ Gen 1,48MP + 12MP + 8MP
Oppo,Xperia Edge 11,331.8,Best Buy,4.8,60,5.4,4,64,Dimensity 920,50MP + 16MP + 5MP
OnePlus,Pixel Turbo 23,1189.53,AliExpress,3.2,144,5.7,16,1024,Dimensity 9000,64MP + 50MP + 5MP
Google,Pixel Lite 14,1917.96,Flipkart,3.6,120,6.6,8,128,Tensor G1,12MP + 8MP + 8MP
Realme,Xperia SE 24,650.78,Amazon,4.2,165,6.9,4,512,Helio G99,50MP + 8MP + 2MP
Vivo,Galaxy S SE 10,1931.39,Official Store,4.6,165,6.8,6,128,Dimensity 920,108MP + 16MP + 8MP
Motorola,Moto G Ultra 18,702.06,eBay,3.6,144,7.0,8,64,Dimensity 920,12MP + 8MP + 8MP
Vivo,Narzo Edge 13,788.15,Flipkart,4.5,165,5.5,12,1024,Helio G99,64MP + 12MP + 5MP
Apple,Mate Turbo 11,356.29,eBay,4.6,90,7.4,16,1024,A15 Bionic,12MP + 12MP + 2MP
Google,Xperia Turbo 23,165.46,Amazon,3.3,90,5.1,8,512,Tensor G2,108MP + 8MP + 5MP
Vivo,Mate Ultra 23,632.89,Flipkart,3.0,144,5.6,16,512,Dimensity 920,50MP + 12MP + 2MP
Xiaomi,Redmi Note Ultra 20,401.39,Official Store,4.4,165,5.9,8,1024,Snapdragon 7 Gen 1,12MP + 8MP + 8MP
Vivo,Moto G Pro 24,577.49,Reliance Digital,3.1,120,5.2,12,256,Helio G99,200MP + 16MP + 8MP
Realme,Reno Mini 19,1793.14,AliExpress,4.8,90,5.6,12,256,Dimensity 920,108MP + 50MP + 8MP
Google,Pixel SE 20,1335.12,Amazon,3.3,144,6.1,12,256,Tensor G1,12MP + 50MP + 8MP
Apple,V Series Ultra 14,845.83,AliExpress,4.8,90,6.6,4,512,A15 Bionic,12MP + 8MP + 2MP
Oppo,Moto G Pro 12,1136.31,Flipkart,4.3,165,5.5,12,256,Helio G99,64MP + 12MP + 2MP
Google,Reno Ultra 16,809.11,Walmart,3.7,90,6.5,4,256,Tensor G1,48MP + 16MP + 5MP
Google,iPhone Lite 16,852.46,Walmart,3.6,144,5.1,6,1024,Tensor G2,48MP + 12MP + 8MP
Realme,Narzo SE 14,456.03,AliExpress,3.9,90,6.7,16,64,Helio G99,48MP + 50MP + 2MP
Oppo,Narzo Max 19,828.8,AliExpress,4.9,120,5.3,16,512,Helio G99,200MP + 50MP + 8MP
Vivo,Xperia Plus 14,846.35,Official Store,4.4,90,7.0,4,64,Dimensity 920,48MP + 12MP + 5MP
Oppo,Redmi Note Pro 11,1363.82,Amazon,4.3,90,5.9,8,512,Helio G99,200MP + 12MP + 5MP
Realme,Mate Max 20,904.86,Walmart,3.5,144,7.2,16,128,Dimensity 920,200MP + 8MP + 8MP
